country,year,sex,age,people
WORLD,1985,1,90,0.0
WORLD,1985,1,95,0.0
WORLD,1985,1,100,0.0
WORLD,1990,1,0,330115.471
WORLD,1990,1,5,294310.839
WORLD,1990,1,10,269946.484
WORLD,1990,1,15,264847.015
WORLD,1990,1,20,249143.26
WORLD,1990,1,25,222647.181
WORLD,1990,1,30,195216.816
WORLD,1990,1,35,176422.092
WORLD,1990,1,40,141192.506
WORLD,1990,1,45,114857.12
WORLD,1990,1,50,106902.847
WORLD,1990,1,55,91354.813
WORLD,1990,1,60,76571.676
WORLD,1990,1,65,56230.275
WORLD,1990,1,70,37413.031
WORLD,1990,1,75,25055.664
WORLD,1990,1,80,12431.246
WORLD,1990,1,85,4505.476
WORLD,1990,1,90,1063.978
WORLD,1990,1,95,176.529
WORLD,1990,1,100,19.382
WORLD,1995,1,0,322455.799
WORLD,1995,1,5,323339.887
WORLD,1995,1,10,292772.271
WORLD,1995,1,15,267665.149
WORLD,1995,1,20,260464.13
WORLD,1995,1,25,245244.041
WORLD,1995,1,30,220033.692
WORLD,1995,1,35,192294.297
WORLD,1995,1,40,172898.414
WORLD,1995,1,45,136967.019
WORLD,1995,1,50,110066.645
WORLD,1995,1,55,100215.053
WORLD,1995,1,60,83007.282
WORLD,1995,1,65,65923.176
WORLD,1995,1,70,44807.818
WORLD,1995,1,75,26447.507
WORLD,1995,1,80,14749.0
WORLD,1995,1,85,5613.253
WORLD,1995,1,90,1427.772
WORLD,1995,1,95,219.658
WORLD,1995,1,100,24.03
WORLD,2000,1,0,312922.708
WORLD,2000,1,5,316851.924
WORLD,2000,1,10,321706.69
WORLD,2000,1,15,290187.31
WORLD,2000,1,20,263313.968
WORLD,2000,1,25,256375.782
WORLD,2000,1,30,242044.902
WORLD,2000,1,35,216360.431
WORLD,2000,1,40,188021.238
WORLD,2000,1,45,167873.318
WORLD,2000,1,50,131298.5
WORLD,2000,1,55,103457.094
WORLD,2000,1,60,91395.675
WORLD,2000,1,65,72204.25
WORLD,2000,1,70,53070.619
WORLD,2000,1,75,32346.914
WORLD,2000,1,80,16033.579
WORLD,2000,1,85,6898.426
WORLD,2000,1,90,1841.77
WORLD,2000,1,95,302.79
WORLD,2000,1,100,29.774
WORLD,2005,1,0,320034.213
WORLD,2005,1,5,308214.862
WORLD,2005,1,10,315483.491
WORLD,2005,1,15,320008.4
WORLD,2005,1,20,286087.388
WORLD,2005,1,25,259411.199
WORLD,2005,1,30,252778.332
WORLD,2005,1,35,238335.624
WORLD,2005,1,40,211766.277
WORLD,2005,1,45,182035.606
WORLD,2005,1,50,161373.398
WORLD,2005,1,55,124605.134
WORLD,2005,1,60,95383.569
WORLD,2005,1,65,80208.772
WORLD,2005,1,70,59217.778
WORLD,2005,1,75,39021.931
WORLD,2005,1,80,20345.033
WORLD,2005,1,85,7908.563
WORLD,2005,1,90,2404.705
WORLD,2005,1,95,415.014
WORLD,2005,1,100,42.96
WORLD,2010,1,0,333304.952
WORLD,2010,1,5,315764.244
WORLD,2010,1,10,307077.054
WORLD,2010,1,15,312845.306
WORLD,2010,1,20,314773.89
WORLD,2010,1,25,282833.485
WORLD,2010,1,30,256442.347
WORLD,2010,1,35,249743.184
WORLD,2010,1,40,234236.744
WORLD,2010,1,45,207099.339
WORLD,2010,1,50,176154.418
WORLD,2010,1,55,153517.803
WORLD,2010,1,60,114784.388
WORLD,2010,1,65,84703.646
WORLD,2010,1,70,66699.302
WORLD,2010,1,75,44299.039
WORLD,2010,1,80,25501.534
WORLD,2010,1,85,10578.205
WORLD,2010,1,90,2950.582
WORLD,2010,1,95,584.83
WORLD,2010,1,100,62.612
WORLD,2015,1,0,346751.503
WORLD,2015,1,5,329582.263
WORLD,2015,1,10,314040.269
WORLD,2015,1,15,304828.74
WORLD,2015,1,20,310593.27
WORLD,2015,1,25,311657.089
WORLD,2015,1,30,279682.235
WORLD,2015,1,35,251914.808
WORLD,2015,1,40,245532.194
WORLD,2015,1,45,228545.898
WORLD,2015,1,50,200783.388
WORLD,2015,1,55,167871.466
WORLD,2015,1,60,142749.095
WORLD,2015,1,65,102619.243
WORLD,2015,1,70,71182.65
WORLD,2015,1,75,50595.216
WORLD,2015,1,80,29480.413
WORLD,2015,1,85,13714.787
WORLD,2015,1,90,4207.214
WORLD,2015,1,95,777.992
WORLD,2015,1,100,96.02
AFRICA,1950,1,0,19547.582
AFRICA,1950,1,5,14963.488
AFRICA,1950,1,10,13014.57
AFRICA,1950,1,15,11671.154
AFRICA,1950,1,20,10201.289
AFRICA,1950,1,25,8696.786
AFRICA,1950,1,30,7434.849
AFRICA,1950,1,35,6294.846
AFRICA,1950,1,40,5370.481
AFRICA,1950,1,45,4457.326
AFRICA,1950,1,50,3648.351
AFRICA,1950,1,55,2888.742
AFRICA,1950,1,60,2186.566
AFRICA,1950,1,65,1556.913
AFRICA,1950,1,70,976.707
AFRICA,1950,1,75,495.125
AFRICA,1950,1,80,260.88
AFRICA,1950,1,85,0.0
AFRICA,1950,1,90,0.0
AFRICA,1950,1,95,0.0
AFRICA,1950,1,100,0.0
AFRICA,1955,1,0,22205.308
AFRICA,1955,1,5,17140.589
AFRICA,1955,1,10,14401.85
AFRICA,1955,1,15,12623.14
AFRICA,1955,1,20,11150.126
AFRICA,1955,1,25,9629.341
AFRICA,1955,1,30,8188.232
AFRICA,1955,1,35,6970.942
AFRICA,1955,1,40,5848.445
AFRICA,1955,1,45,4930.767
AFRICA,1955,1,50,4014.371
AFRICA,1955,1,55,3187.797
AFRICA,1955,1,60,2398.8
AFRICA,1955,1,65,1670.946
AFRICA,1955,1,70,1039.196
AFRICA,1955,1,75,523.63
AFRICA,1955,1,80,252.434
AFRICA,1955,1,85,0.0
AFRICA,1955,1,90,0.0
AFRICA,1955,1,95,0.0
AFRICA,1955,1,100,0.0
AFRICA,1960,1,0,25354.03
AFRICA,1960,1,5,19779.362
AFRICA,1960,1,10,16562.836
AFRICA,1960,1,15,13960.594
AFRICA,1960,1,20,12070.847
AFRICA,1960,1,25,10579.672
AFRICA,1960,1,30,9138.45
AFRICA,1960,1,35,7738.149
AFRICA,1960,1,40,6520.943
AFRICA,1960,1,45,5405.445
AFRICA,1960,1,50,4472.157
AFRICA,1960,1,55,3536.778
AFRICA,1960,1,60,2678.234
AFRICA,1960,1,65,1862.475
AFRICA,1960,1,70,1142.298
AFRICA,1960,1,75,580.116
AFRICA,1960,1,80,279.97
AFRICA,1960,1,85,0.0
AFRICA,1960,1,90,0.0
AFRICA,1960,1,95,0.0
AFRICA,1960,1,100,0.0
AFRICA,1965,1,0,28992.443
AFRICA,1965,1,5,22877.217
AFRICA,1965,1,10,19166.519
AFRICA,1965,1,15,16032.941
AFRICA,1965,1,20,13310.882
AFRICA,1965,1,25,11430.238
AFRICA,1965,1,30,10050.989
AFRICA,1965,1,35,8652.678
AFRICA,1965,1,40,7263.288
AFRICA,1965,1,45,6054.822
AFRICA,1965,1,50,4926.531
AFRICA,1965,1,55,3975.505
AFRICA,1965,1,60,2999.853
AFRICA,1965,1,65,2110.474
AFRICA,1965,1,70,1298.977
AFRICA,1965,1,75,658.514
AFRICA,1965,1,80,327.699
AFRICA,1965,1,85,0.0
AFRICA,1965,1,90,0.0
AFRICA,1965,1,95,0.0
AFRICA,1965,1,100,0.0
AFRICA,1970,1,0,32898.481
AFRICA,1970,1,5,26407.098
AFRICA,1970,1,10,22235.656
AFRICA,1970,1,15,18660.037
AFRICA,1970,1,20,15367.7
AFRICA,1970,1,25,12683.941
AFRICA,1970,1,30,10917.948
AFRICA,1970,1,35,9567.292
AFRICA,1970,1,40,8172.228
AFRICA,1970,1,45,6779.77
AFRICA,1970,1,50,5545.261
AFRICA,1970,1,55,4386.093
AFRICA,1970,1,60,3384.416
AFRICA,1970,1,65,2373.052
AFRICA,1970,1,70,1483.898
AFRICA,1970,1,75,756.872
AFRICA,1970,1,80,382.74
AFRICA,1970,1,85,0.0
AFRICA,1970,1,90,0.0
AFRICA,1970,1,95,0.0
AFRICA,1970,1,100,0.0
AFRICA,1975,1,0,37646.424
AFRICA,1975,1,5,30170.604
AFRICA,1975,1,10,25669.077
AFRICA,1975,1,15,21632.128
AFRICA,1975,1,20,17817.387
